Company Name,Location,Date,Detail,Status Rocket,Rocket,Status Mission,Year,Month,Country
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-08-07 05:12:00+00:00,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,Statusactive,50.0 ,Success,2020.0,August,USA
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-08-06 04:01:00+00:00,Long March 2D | Gaofen-9 04 & Q-SAT,Statusactive,29.75 ,Success,2020.0,August,China
SpaceX,"Pad A, Boca Chica, Texas, USA",2020-08-04 23:57:00+00:00,Starship Prototype | 150 Meter Hop,Statusactive,,Success,2020.0,August,USA
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2020-07-30 21:25:00+00:00,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,Statusactive,65.0 ,Success,2020.0,July,Kazakhstan
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-07-30 11:50:00+00:00,Atlas V 541 | Perseverance,Statusactive,145.0 ,Success,2020.0,July,USA
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-25 03:13:00+00:00,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",Statusactive,64.68 ,Success,2020.0,July,China
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-07-23 14:26:00+00:00,Soyuz 2.1a | Progress MS-15,Statusactive,48.5 ,Success,2020.0,July,Kazakhstan
CASC,"LC-101, Wenchang Satellite Launch Center, China",2020-07-23 04:41:00+00:00,Long March 5 | Tianwen-1,Statusactive,,Success,2020.0,July,China
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-07-20 21:30:00+00:00,Falcon 9 Block 5 | ANASIS-II,Statusactive,50.0 ,Success,2020.0,July,USA
JAXA,"LA-Y1, Tanegashima Space Center, Japan",2020-07-19 21:58:00+00:00,H-IIA 202 | Hope Mars Mission,Statusactive,90.0 ,Success,2020.0,July,Japan
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2020-07-15 13:46:00+00:00,Minotaur IV | NROL-129,Statusactive,46.0 ,Success,2020.0,July,USA
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-07-10 04:17:00+00:00,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",Statusactive,28.3 ,Failure,2020.0,July,China
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-07-09 12:11:00+00:00,Long March 3B/E | Apstar-6D,Statusactive,29.15 ,Success,2020.0,July,China
IAI,"Pad 1, Palmachim Airbase, Israel",2020-07-06 01:00:00+00:00,Shavit-2 | Ofek-16,Statusactive,,Success,2020.0,July,Israel
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-07-04 23:44:00+00:00,Long March 2D | Shiyan-6 02,Statusactive,29.75 ,Success,2020.0,July,China
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-07-04 21:19:00+00:00,Electron/Curie | Pics Or It Didn??¦t Happen,Statusactive,7.5 ,Failure,2020.0,July,New Zealand
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-03 03:10:00+00:00,Long March 4B | Gaofen Duomo & BY-02,Statusactive,64.68 ,Success,2020.0,July,China
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-30 20:10:00+00:00,Falcon 9 Block 5 | GPS III SV03,Statusactive,50.0 ,Success,2020.0,June,USA
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-06-23 01:43:00+00:00,Long March 3B/E | Beidou-3 G3,Statusactive,29.15 ,Success,2020.0,June,China
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-06-17 07:19:00+00:00,"Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",Statusactive,29.75 ,Success,2020.0,June,China
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-13 09:21:00+00:00,Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,Statusactive,50.0 ,Success,2020.0,June,USA
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-06-13 05:12:00+00:00,Electron/Curie | Don't stop me now!,Statusactive,7.5 ,Success,2020.0,June,New Zealand
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-06-10 18:31:00+00:00,Long March 2C | Haiyang-1D,Statusactive,30.8 ,Success,2020.0,June,China
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-04 01:25:00+00:00,Falcon 9 Block 5 | Starlink V1 L7,Statusactive,50.0 ,Success,2020.0,June,USA
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-05-31 08:53:00+00:00,Long March 2D | Gaofen-9-02 & HEAD-4,Statusactive,29.75 ,Success,2020.0,May,China
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-05-30 19:22:00+00:00,Falcon 9 Block 5 | SpaceX Demo-2,Statusactive,50.0 ,Success,2020.0,May,USA
CASC,"Xichang Satellite Launch Center, China",2020-05-29 20:13:00+00:00,Long March 11 | XJS-G and XJS-H,Statusactive,5.3 ,Success,2020.0,May,China
